Group,Keyword,Volume,Keyword Difficulty,CPC (USD),Competitive Density,Number of Results,Intent,SERP Features,Trend
vestido,vestido animal print,720,23,0.37,1.00,25400000,Informational,"Reviews, Image, Image pack, Related searches","0.55,0.76,1.00,0.76,0.55,0.36,0.36,0.36,0.36,0.30,0.45,0.45"
vestido,animal print vestido,480,22,0.29,1.00,30600000,Informational,"Reviews, Image, Image pack, Video carousel, Related searches","1.00,0.82,1.00,0.82,0.55,0.55,0.44,0.36,0.36,0.36,0.44,0.65"
vestido,vestido animal print zara,390,22,0.00,1.00,44,"Informational, Transactional","Reviews, Image, Image pack, Video, Related searches","0.66,1.00,0.81,0.54,0.66,0.44,0.44,0.54,0.36,0.36,0.36,0.44"
vestido,vestidos animal print,390,25,0.29,1.00,20300000,Informational,"Reviews, Image, Image pack, Related searches","0.81,0.81,1.00,1.00,0.66,0.54,0.44,0.54,0.44,0.44,0.54,0.66"
vestido,vestido animal print mango,320,18,0.40,1.00,62,Informational,"Reviews, Image, Image pack, Related searches, Ads bottom","0.44,1.00,0.81,0.66,0.54,0.35,0.28,0.44,0.35,0.28,0.23,0.28"
vestido,como combinar un vestido animal print con zapatos,170,6,0.00,0.05,75,Informational,"Reviews, Indented, Image, Image pack, Video, People also ask","0.53,1.00,0.81,0.81,0.65,0.28,0.28,0.43,0.43,0.53,0.21,0.28"
vestido,vestido animal print largo,140,11,0.42,1.00,11100000,Informational,"Reviews, Image, Image pack, Video, Related searches, Popular products","0.00,0.81,1.00,0.53,0.28,0.43,0.28,0.09,0.15,0.34,0.09,0.81"
vestido,vestido animal print h&m,110,34,0.00,0.99,61,"Informational, Transactional","Reviews, Image, Related searches","0.64,1.00,0.82,0.82,0.64,0.41,0.52,0.52,0.52,0.52,0.41,0.82"
vestido,vestidos animal print h&m,110,34,0.00,0.99,55,"Informational, Transactional","Reviews, Indented, Image, Image pack, Related searches","0.64,1.00,0.82,0.82,0.64,0.41,0.52,0.52,0.52,0.52,0.41,0.82"
vestido,vestido animal print corto,90,16,0.00,1.00,7870000,Informational,"Reviews, Image, Image pack, Video, Related searches","0.78,0.78,1.00,0.78,0.63,0.35,0.28,0.50,0.28,0.50,0.50,0.50"
vestido,vestido animal print rojo,90,0,0.00,1.00,12000000,Informational,"Reviews, Image, Image pack, Video, Related searches","0.29,0.40,0.65,1.00,0.65,0.65,0.52,0.40,0.29,0.29,0.11,0.11"
vestido,vestido animal print stradivarius,90,20,0.00,1.00,37,Informational,"Site links, Image, Image pack, Related searches","1.00,1.00,1.00,1.00,0.82,1.00,0.62,0.82,1.00,0.44,0.62,0.62"
vestido,vestido camisero animal print,90,16,0.00,1.00,969000,Informational,"Reviews, Image, Image pack, Video, Related searches","0.65,1.00,0.83,0.53,0.41,0.29,0.29,0.53,0.53,0.41,0.24,0.24"
vestido,vestidos zara animal print,90,20,0.00,0.95,44,Informational,"Reviews, Image, Image pack, Related searches","0.78,0.64,0.64,0.78,1.00,0.50,0.35,0.78,0.35,0.35,0.50,0.28"
vestido,lola casademunt vestido animal print,70,7,0.09,1.00,54,Informational,"Image, Image pack, Related searches, Shopping ads, Ads bottom","0.78,0.28,0.14,0.21,0.14,0.21,0.28,0.78,0.78,0.28,0.28,1.00"
vestido,vestido largo animal print,70,9,0.42,1.00,14000000,Informational,"Reviews, Image, Image pack, Video, Related searches","1.00,0.00,0.19,0.81,0.53,0.00,0.00,0.43,0.53,0.23,0.43,0.19"
vestido,vestido lencero animal print,70,14,0.00,1.00,210000,Informational,"Reviews, Image, Image pack, Related searches","0.50,0.50,0.13,0.06,0.06,0.06,0.06,0.06,0.06,0.50,0.63,1.00"
vestido,vestido midi animal print,70,17,0.00,1.00,14500000,Informational,"Reviews, Indented, Image, Image pack, Related searches","0.17,1.00,1.00,1.00,0.17,0.17,0.17,1.00,0.17,0.17,0.17,0.17"
vestido,vestido zara animal print,70,25,0.00,0.95,54,Navigational,"Site links, Reviews, Image, Image pack, Video, Related searches","0.76,0.48,0.62,0.76,1.00,0.48,0.34,0.76,0.34,0.34,0.48,0.28"
vestido,mango vestido animal print,50,23,0.45,1.00,53,Informational,"Reviews, Image, Image pack, Related searches, Ads top","1.00,1.00,1.00,1.00,0.27,0.18,0.18,0.18,0.18,0.18,0.18,0.18"
vestido,vestido mango animal print,50,24,0.00,1.00,67,"Informational, Transactional","Reviews, Image, Image pack, Related searches, Ads bottom","1.00,1.00,0.18,1.00,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18"
vestido,vestido print animal,50,22,0.21,1.00,25000000,Informational,"Reviews, Image, Image pack, Video, People also ask, Related searches","0.63,0.50,0.63,0.63,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00"
vestido,vestidos de animal print cortos,50,19,0.00,0.75,8110000,Commercial,"Reviews, Image, Image pack, Video, Related searches, Popular products","0.14,0.14,0.50,1.00,0.28,0.78,0.14,0.14,0.14,0.64,0.28,0.14"
vestido,vestido animal print verde,40,3,0.00,1.00,20900000,Informational,"Reviews, Image, Image pack, Related searches","0.14,0.14,0.78,0.21,1.00,0.14,0.14,0.14,0.14,0.14,0.14,0.14"
vestido,vestidos animal print el corte ingles,40,25,0.00,0.98,56,Informational,"Image, Image pack, Related searches","0.62,0.44,1.00,0.26,0.44,0.18,0.18,0.18,0.18,0.18,0.18,0.18"
vestido,vestidos animal print zara,40,13,0.00,1.00,42,Informational,"Reviews, Image, Image pack, Related searches","0.55,0.55,1.00,0.77,0.55,0.22,0.22,0.22,0.22,0.44,0.22,0.33"
vestido,como usar vestido animal print,30,,0.00,0.36,,,,"0.00,0.00,0.00,0.00,0.00,0.64,0.14,1.00,0.00,0.14,0.14,0.14"
vestido,vestido animal print mujer,30,19,0.50,1.00,15600000,Informational,"Reviews, Indented, Image, Image pack, Video, Related searches","0.10,0.21,1.00,1.00,0.21,0.21,0.21,0.21,0.21,0.21,0.21,1.00"
vestido,vestido manga larga animal print,30,,0.00,0.00,,,,"0.29,1.00,0.29,0.57,0.57,0.29,0.29,0.57,0.29,0.29,0.29,0.00"
vestido,vestido rojo animal print,30,,0.00,1.00,,,,"0.18,0.18,1.00,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18"
vestido,vestidos animal print el corte inglés,30,,0.00,0.98,,,,"0.00,0.18,1.00,0.45,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18"
vestido,vestidos animal print mujer,30,21,0.50,1.00,98,Informational,"Reviews, Image, Image pack, Video, Related searches","0.27,0.27,1.00,1.00,0.27,0.27,0.27,0.27,0.27,0.27,0.27,1.00"
vestido,vestidos de animal print,30,,0.00,1.00,,,,"0.20,0.20,1.00,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20"
vestido,zara vestido animal print,30,,0.00,0.94,,,,"0.18,0.18,0.18,0.27,0.18,1.00,0.18,0.18,0.18,0.18,0.18,0.18"
vestido,accesorios para combinar vestido animal print,20,,0.00,0.00,,,,"1.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00"
vestido,accesorios para vestido animal print,20,,0.00,1.00,,,,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00"
vestido,animal print vestido largo,20,,0.00,0.83,,,,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00"
vestido,asos vestido animal print,20,,0.00,1.00,,,,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00"
vestido,bershka vestido animal print,20,,0.00,1.00,,,,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,0.00,1.00"
vestido,camisa vestido animal print,20,,0.00,1.00,,,,"0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00"
vestido,combinar vestido animal print,20,,0.00,0.86,,,,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00"
vestido,combinar vestido animal print leopardo,20,,0.00,0.96,,,,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00"
vestido,como combinar un vestido animal print,20,,0.00,0.00,,,,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00"
vestido,como combinar un vestido animal print de leopardo,20,,0.00,0.00,,,,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00"
vestido,como combinar un vestido de animal print,20,,0.00,0.00,,,,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00"
vestido,como combinar vestido animal print,20,,0.00,1.00,,,,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00"
vestido,como combinar vestido largo animal print,20,,0.00,0.00,,,,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,0.00"
